url,title,summary
http://feeds.bbci.co.uk/news/rss.xml,Haiti: Inside the capital city taken hostage by brutal gangs,"Orla Guerin reports from Port-au-Prince, where Haitians live in fear of killings, kidnappings and rape."
http://feeds.bbci.co.uk/news/rss.xml,Raheem Sterling: No threat of violence in England star's break-in - police,"The star's family found jewellery and watches stolen when they returned home to Oxshott, Surrey."
http://feeds.bbci.co.uk/news/rss.xml,UK weather: Met Office warns of below freezing temperatures,People are urged to look out for friends and family amid unseasonably cold temperatures this week.
http://feeds.bbci.co.uk/news/rss.xml,Strep A: Penarth family traumatised by daughter's death,"The father of seven-year-old Hanna Roap, describes how his ""bubbly"" daughter died within hours."
http://feeds.bbci.co.uk/news/rss.xml,Pakistan v England: James Anderson and Ollie Robinson lead tourists to first-Test win,England pull off one of their greatest victories with a 74-run win over Pakistan in the first Test in Rawalpindi.
http://feeds.bbci.co.uk/news/rss.xml,Labour promise biggest ever transfer of powers,Sir Keir Starmer says sweeping constitutional change would free up £200m a year and restructure the economy.
http://feeds.bbci.co.uk/news/rss.xml,Explosions hit two military airfields in Russia - reports,"A new wave of missile attacks was also launched on Ukraine on Monday, Kyiv says."
http://feeds.bbci.co.uk/news/rss.xml,Migrant with diphtheria who died at Manston centre named,Husean Hseb died after arriving on a small boat seven days earlier.
http://feeds.bbci.co.uk/news/rss.xml,Train strikes: RMT union rejects offer to stop Christmas walkouts,Talks between the RMT and train operators aimed at halting the walkouts are expected to continue.
http://feeds.bbci.co.uk/news/rss.xml,Oxford word of the year 2022 revealed as 'goblin mode',A landslide public vote chooses the 2022 word of the year from options prepared by lexicographers.
http://feeds.bbci.co.uk/news/rss.xml,Harry Potter 50p coin to be last with Queen's portrait,The 50p coin featuring the Hogwarts Express is the second in The Royal Mint's Harry Potter series.
http://feeds.bbci.co.uk/news/rss.xml,Wingate grave error caused by 'perfect storm' of problems,A family found they had been visiting the wrong grave for their father for 17 years.
http://feeds.bbci.co.uk/news/rss.xml,Cost of Living: How to have a Christmas party on a budget,"With money tight, there are ways you can organise a Christmas party without the financial hangover."
http://feeds.bbci.co.uk/news/rss.xml,Five ways to spend and waste less this Christmas,"Experts give tips on how to make your Christmas cheaper, greener and just as joyful."
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: The Leeds food bank making every user feel valued,The Cultural Food Hub is making sure each bag given matches the needs of the person receiving it.
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: 'No-one likes us. We DO care. We are Millwall',Football clubs are supporting their communities as costs rise - from food banks to debt advice.
http://feeds.bbci.co.uk/news/rss.xml,Mortgages: What happens if I miss a payment?,Homeowners are worried about rising mortgage costs - but lenders must help those struggling.
http://feeds.bbci.co.uk/news/rss.xml,Mortgage calculator: how much will my mortgage go up?,Use our calculator to find out how much mortgage payments could go up for your household.
http://feeds.bbci.co.uk/news/rss.xml,Egg shortages: What's causing the problem and how long will it last?,The staple grocery is being rationed in some supermarkets - but why are there so few around?
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: Vicar left in tears over community's food poverty,"""I spend most Monday evenings in tears,"" says Father Dominic Cawdell, of St Peter's in Flintshire."
http://feeds.bbci.co.uk/news/rss.xml,Ros Atkins on... The UK’s home insulation problem,BBC Analysis editor Ros Atkins looks at why millions of UK homes don’t have adequate home insulation – and what the government plans to do about it.
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: 'Christmas is coming but everybody's worried',"Funmilayo Akinriboya runs a support group for African, Caribbean and Portuguese communities."
http://feeds.bbci.co.uk/news/rss.xml,How to cut your energy bills,"Energy bills have gone up, but there are some easy ways households can reduce costs."
http://feeds.bbci.co.uk/news/rss.xml,Big Zuu shares his budget cooking secrets,The TV chef and rapper shares his big three tips for making the most of your weekly food shop.
http://feeds.bbci.co.uk/news/rss.xml,'We are chasing never-ending debt to pay for basics',Citizens Advice says homeowners and pensioners are among those increasingly seeking debt advice.
http://feeds.bbci.co.uk/news/rss.xml,Foraging in the forest as a way to make ends meet,"More people are foraging from the land as a way to make ends meet, says an experienced forager."
http://feeds.bbci.co.uk/news/rss.xml,Suffocating lack of space in Ukraine's makeshift homes,Sofia lives in cramped conditions with her boyfriend and his mother after strikes destroyed their home.
http://feeds.bbci.co.uk/news/rss.xml,Maxine Peake stages Betty Boothroyd's life in comedy musical: 'This is me letting rip',Actor Maxine Peake stages pioneering Parliamentarian Betty Boothroyd's story as a comedy musical.
http://feeds.bbci.co.uk/news/rss.xml,China Covid: Xi's face-saving exit from his signature policy,"If you want to know what the government's plan is, look at what it does rather than what it says."
http://feeds.bbci.co.uk/news/rss.xml,Fraud victims 'devastated' by Revolut's response,The BBC speaks to people who have had difficulty getting refunds from the electronic money firm.
http://feeds.bbci.co.uk/news/rss.xml,"Meta, Amazon, Twitter layoffs: 'Tech layoffs won't destroy American dreams of Indians’","Surbhi Gupta, who was laid off in the US, on the uncertainties she and other visa holders are dealing with."
http://feeds.bbci.co.uk/news/rss.xml,What is Strep A and what are the symptoms to look out for?,Another UK child has died from this highly contagious infection. What should people look out for?
http://feeds.bbci.co.uk/news/rss.xml,The Papers: 'Three Lions roar' and Sterling raid 'terror',England's 3-0 win against Senegal at the World Cup dominates Monday's front pages.
http://feeds.bbci.co.uk/news/rss.xml,Do you need to change your accent to get a top job?,"Student Chris explores trying to change the way he speaks, out of a concern his accent may hold him back."
http://feeds.bbci.co.uk/news/rss.xml,Out on a spacewalk with Nasa astronauts at the ISS,The astronauts installed new solar panels to give the International Space Station more power.
http://feeds.bbci.co.uk/news/rss.xml,Kuenssberg: Who needs to 'step up' to keep kids safe online?,"As actress Kate Winslet says more can be done to protect children, is the Online Safety Bill enough, asks Laura Kuenssberg?"
http://feeds.bbci.co.uk/news/rss.xml,Stephanie Slater: The kidnap victim who faced a second ordeal,"How one woman survived a notorious kidnapping, only to be traumatised by how she was treated afterwards."
http://feeds.bbci.co.uk/news/rss.xml,China protests: Why is it struggling to vaccinate the elderly?,"China has not vaccinated enough old people, making it difficult to abandon its zero-Covid policy."
http://feeds.bbci.co.uk/news/rss.xml,377A repeal: Singapore turns page on dark LGBT history,The repeal of a gay sex ban ends a period where authorities actively targeted homosexual men.
http://feeds.bbci.co.uk/news/rss.xml,Callisto Protocol: Gory new game pushes horror to new limits,The Callisto Protocol has been cancelled in Japan for being too gruesome but its makers are unapologetic.
http://feeds.bbci.co.uk/news/rss.xml,The photographer who puts little people in the frame,David Gilliver has won awards for his Macro photography putting tiny figurines into imaginative scenes.
http://feeds.bbci.co.uk/news/rss.xml,Your pictures on the theme of 'in a rush',A selection of striking images from our readers around the world.
http://feeds.bbci.co.uk/news/rss.xml,Could the Elgin Marbles be returned to Greece?,The British Museum is said to have held secret talks with Greece about returning the sculptures.
http://feeds.bbci.co.uk/news/rss.xml,Coding: Female engineers deleting myth that tech is for men,"Huge growth in technology means women are desperately needed to fill more jobs, businesses say."
http://feeds.bbci.co.uk/news/rss.xml,Wales coach Pivac replaced by predecessor Gatland,Warren Gatland returns to replace Wayne Pivac as Wales head coach following an autumn review.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: England beat Senegal 3-0 to reach quarter-finals,Watch highlights as England produce a dominant display to beat Senegal 3-0 and reach the World Cup quarter-finals.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: Watch a different view of Jude Bellingham's brilliant display for England against Senegal,Watch a different view of Jude Bellingham's game-changing performance for England as he played a key role in their opening two goals against Senegal.
http://feeds.bbci.co.uk/news/rss.xml,West Indies v England: Nat Sciver scores 90 on return to side as visitors comfortably win first ODI,Nat Sciver's 90 and Charlie Dean's 4-35 help England to a comfortable victory over West Indies in the first one-day international in Antigua.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: Brazil's 'fast little legs' chasing glory in Qatar,"Brazil's rising stars, including Arsenal's Gabriel Martinelli and Manchester United's Antony, have their nation believing a sixth World Cup triumph is possible."
http://feeds.bbci.co.uk/news/rss.xml,Raheem Sterling leaves England World Cup squad after burglary at family home,Raheem Sterling leaves the England World Cup squad in Qatar and returns to London after his home was burgled.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: French media expect 'explosive' England quarter-final,"Explosive, tempting, shocking - the French newspapers have gone heavy on the adjectives as they await a World Cup quarter-final against England."
http://feeds.bbci.co.uk/news/rss.xml,Jude Bellingham - the player and 'wonderful human being',Ex coach Mike Dodds says his relationship with the 19-year-old England star transcends football.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: What you need to know about England's quarter-final with France,England face France in a mouth-watering World Cup quarter-final on Saturday - here's all the key details.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: 'I was ecstatic at the end' - England fans celebrate win,Football fans turned out in droves across England to watch the Three Lions triumph over Senegal.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: England 3-0 Senegal - 'Gareth Southgate's critics must admit he got it spot on again',Why England's emphatic win over Senegal to set up a World Cup quarter-final with France was more proof of Gareth Southgate's sure touch in team selection.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: France's Kylian Mbappe upstages Olivier Giroud after goalscoring record,"Olivier Giroud becomes France's all-time top scorer, but he is upstaged by the performance of Kylian Mbappe in their last-16 win over Poland."
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: England boss Gareth Southgate looking forward to 'acid test' against France,"England manager Gareth Southgate praised his side's ""ruthless"" display against Senegal that sets up an ""acid test"" game against defending champions France in the World Cup quarter-finals."
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: Harry Kane scores England's second against Senegal,England captain Harry Kane scores his first goal of the 2022 World Cup to double their lead against Senegal in the last 16.
http://feeds.bbci.co.uk/news/rss.xml,"World Cup 2022: Brazil v South Korea - Neymar available for last-16 tie, says manager Tite",Preview followed by live coverage of Monday's Fifa World Cup last-16 match between Brazil and South Korea.
